"","index","Job.Title","Salary.Estimate","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"1",1,"Data Scientist","$137K-$171K (Glassdoor est.)",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA","5001 to 10000 employees",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","-1"
"2",2,"Data Scientist","$137K-$171K (Glassdoor est.)",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 employees",1981,"Private Practice / Firm","Consulting","Business Services","$100 to $500 million (USD)","-1"
"3",3,"Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland","501 to 1000 employees",2000,"Company - Public","Electrical & Electronic Manufacturing","Manufacturing","$100 to $500 million (USD)","MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
"4",4,"Data Scientist","$137K-$171K (Glassdoor est.)",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 to 200 employees",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee"
"5",5,"Data Scientist","$137K-$171K (Glassdoor est.)",4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA","51 to 200 employees",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1"
"6",7,"Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"iRobot
3.5","Bedford, MA","Bedford, MA","1001 to 5000 employees",1990,"Company - Public","Consumer Electronics & Appliances Stores","Retail","$1 to $2 billion (USD)","-1"
"7",9,"Data Scientist","$137K-$171K (Glassdoor est.)",3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL","51 to 200 employees",2014,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1"
"8",10,"Data Scientist","$137K-$171K (Glassdoor est.)",4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA","501 to 1000 employees",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Leidos, CACI International, Booz Allen Hamilton"
"9",11,"Data Scientist","$137K-$171K (Glassdoor est.)",4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO","51 to 200 employees",2016,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Slalom, Daugherty Business Solutions"
"10",14,"Data Scientist","$137K-$171K (Glassdoor est.)",3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ","1001 to 5000 employees",1986,"Company - Private","Consulting","Business Services","$100 to $500 million (USD)","-1"
"11",17,"Data Scientist","$137K-$171K (Glassdoor est.)",3.5,"Buckman
3.5","Memphis, TN","Memphis, TN","1001 to 5000 employees",1945,"Company - Private","Chemical Manufacturing","Manufacturing","$500 million to $1 billion (USD)","-1"
"12",20,"Data Scientist","$137K-$171K (Glassdoor est.)",3.2,"Triplebyte
3.2","New York, NY","San Francisco, CA","51 to 200 employees",2015,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1"
"13",24,"Data Scientist","$137K-$171K (Glassdoor est.)",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 to 200 employees",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","-1"
"14",25,"Data Scientist","$137K-$171K (Glassdoor est.)",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 to 200 employees",2003,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","-1"
"15",28,"Data Scientist","$137K-$171K (Glassdoor est.)",4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA","51 to 200 employees",2005,"Company - Private","Federal Agencies","Government","$25 to $50 million (USD)","-1"
"16",29,"Data Scientist","$137K-$171K (Glassdoor est.)",2.8,"Formation
2.8","San Francisco, CA","San Francisco, CA","51 to 200 employees",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1"
"17",30,"Data Scientist","$75K-$131K (Glassdoor est.)",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 employees",1981,"Private Practice / Firm","Consulting","Business Services","$100 to $500 million (USD)","-1"
"18",32,"Data Scientist","$75K-$131K (Glassdoor est.)",5,"Cohere Health
5.0","Boston, MA","Boston, MA","1 to 50 employees",2019,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1"
"19",34,"Data Engineer","$75K-$131K (Glassdoor est.)",3.6,"Chef
3.6","United States","Seattle, WA","201 to 500 employees",2008,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)","Puppet, Ansible, SaltStack"
"20",37,"Data Scientist","$75K-$131K (Glassdoor est.)",2.7,"A Place for Mom
2.7","Overland Park, KS","New York, NY","501 to 1000 employees",2000,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Enlivant, Sunrise Senior Living, Brookdale Senior Living"
"21",38,"Data Scientist","$75K-$131K (Glassdoor est.)",2.2,"Great-Circle Technologies
2.2","Chantilly, VA","Chantilly, VA","1 to 50 employees",2000,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$1 to $5 million (USD)","-1"
"22",40,"Data Analyst","$75K-$131K (Glassdoor est.)",3.1,"Cambridge Associates, LLC
3.1","Boston, MA","Boston, MA","501 to 1000 employees",1973,"Company - Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)","-1"
"23",41,"Machine Learning Engineer","$75K-$131K (Glassdoor est.)",3.4,"Liberty Mutual Insurance
3.4","Portsmouth, NH","Boston, MA","10000+ employees",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Travelers, Allstate, State Farm"
"24",44,"Data Scientist","$75K-$131K (Glassdoor est.)",4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA","51 to 200 employees",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","-1"
"25",46,"Senior Data Scientist","$75K-$131K (Glassdoor est.)",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA","201 to 500 employees",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1"
"26",47,"Data Scientist","$75K-$131K (Glassdoor est.)",3.3,"Intellectual Ventures
3.3","Bellevue, WA","Bellevue, WA","501 to 1000 employees",2000,"Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","-1"
"27",48,"Data Scientist","$75K-$131K (Glassdoor est.)",3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore","1001 to 5000 employees",2016,"Government","Federal Agencies","Government","Unknown / Non-Applicable","-1"
"28",49,"Data Scientist","$75K-$131K (Glassdoor est.)",4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA","201 to 500 employees",1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1"
"29",50,"Data Analyst","$75K-$131K (Glassdoor est.)",4.8,"Giving Assistant
4.8","San Francisco, CA","San Francisco, CA","1 to 50 employees",2014,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","-1"
"30",51,"Data Scientist","$75K-$131K (Glassdoor est.)",3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan","10000+ employees",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer"
"31",52,"Data Scientist","$75K-$131K (Glassdoor est.)",4,"Netskope
4.0","San Francisco, CA","Santa Clara, CA","501 to 1000 employees",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Skyhigh Networks, Zscaler, NortonLifeLock"
"32",56,"Senior Data Scientist","$75K-$131K (Glassdoor est.)",3.5,"Benson Hill
3.5","Saint Louis, MO","Saint Louis, MO","201 to 500 employees",2012,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","-1"
"33",58,"Data Scientist","$75K-$131K (Glassdoor est.)",3.2,"Postmates - Corporate HQ
3.2","San Francisco, CA","San Francisco, CA","1001 to 5000 employees",2011,"Company - Private","Express Delivery Services","Transportation & Logistics","Unknown / Non-Applicable","DoorDash, Uber, Grubhub"
"34",60,"Data Analyst","$75K-$131K (Glassdoor est.)",3.8,"Swiss Re
3.8","Fort Wayne, IN","Zurich, Switzerland","10000+ employees",1863,"Company - Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)","Munich Re, Hannover RE, SCOR"
"35",61,"Machine Learning Engineer","$75K-$131K (Glassdoor est.)",4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA","201 to 500 employees",2010,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","-1"
"36",62,"Data Scientist","$79K-$131K (Glassdoor est.)",3.5,"iRobot
3.5","Bedford, MA","Bedford, MA","1001 to 5000 employees",1990,"Company - Public","Consumer Electronics & Appliances Stores","Retail","$1 to $2 billion (USD)","-1"
"37",63,"Data Scientist","$79K-$131K (Glassdoor est.)",4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA","51 to 200 employees",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1"
"38",65,"Data Engineer","$79K-$131K (Glassdoor est.)",3.7,"Bayview Asset Management
3.7","Coral Gables, FL","Coral Gables, FL","1001 to 5000 employees",1995,"Company - Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)","-1"
"39",66,"Data Scientist","$79K-$131K (Glassdoor est.)",3.7,"Via Transportation
3.7","New York, NY","New York, NY","501 to 1000 employees",2012,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","-1"
"40",67,"Data Scientist","$79K-$131K (Glassdoor est.)",4,"Grid Dynamics
4.0","Santa Clara, CA","San Ramon, CA","1001 to 5000 employees",2006,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)","Luxoft, EPAM, Capgemini Invent"
